survey_id,zone,ro_name,piu_name,project_name,upc_code,das_provider,survey_status,report_status,scheduled_survey_date,actual_survey_date,raw_data_submission_date,report_submission_scheduled_date,report_submission_actual_date,discrepancy_date,final_report_submission_scheduled_date,final_report_submission_actual_date,interim_acceptance_date,validation_date,mcw_length_surveyed,sr_length_surveyed,delay_d1,delay_d2,total_delay,ir_count,defects_reported,precision_score,recall_score,remarks,comments,survey_form_link,raw_video_link,processed_video_link,final_survey_report_link,assessed_report_link,piu_report_link,row_hash,id
N/04022/02006/TN_001_230626,D,Copy of RO Chennai,Chengalpattu,Operation & Maintenance and Providing Incident Management Services on Tambaram to Tindivanam Section of NH-32 (Old NH-45) from Km. 28+000 to Km. 121+000 in the State of Tamil Nadu,N/04022/02006/TN,M/s Lonrix,completed,1,23/06/2026,,,27/06/2026,28/06/2026,01/07/2026,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,Survey Form_N-04022-02006-TN_24-06-2026.pdf,,,,,,6e2ea614919903fd2811f57e95241db1e25edc480519f7f43882b8fa7ac9745c,17638
N/02004/30001/TN_001_220626,D,Copy of RO Chennai,Chennai 1,Six laning of Chennai – Tada section of NH5 from Km 11/0 to Km 54/4 in the state of Tamil Nadu to be executed under EPC Mode under NHDP Phase V – Completion of balance work in Km 21.400 to Km 54.400 (Length 33.000 Km) under EPC mode,N/02004/30001/TN,M/s Lonrix,completed,5,22/06/2026,,,25/06/2026,30/06/2026,01/07/2026,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,Survey form_N0200430001TN_22062026.pdf,,,,,,ef9267cae02f5e8966e7f0b0270e563dc51a0dc930bad95d5ef8f910be155fd6,17639
N/09048/01001/TN_001_220626,D,Copy of RO Chennai,Puducherry,Four laning of Pondicherry (km.0/000) to Tindivanam (km. 38/608)section of NH66 (New NH 32),N/09048/01001/TN,M/s Lonrix,completed,1,22/06/2026,,,25/06/2026,26/06/2026,30/06/2026,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,Suvey Forms_N0904801001TN 22062026.pdf,,,,,,7f9c9bd42f407dbcb2562625fbed6da118b0cb37b0ba056dffefbafe73399989,17640
N/04022/03001/TN_001_230626,D,Copy of RO Chennai,Viluppuram,Tindivanam - Ulundurpet from km 121.00 to km 193.90-RCW,N/04022/03001/TN,M/s Lonrix,completed,0,23/06/2026,,,27/06/2026,27/06/2026,30/06/2026,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,SURVEY FORM_N0402203001TN-RCW_23_06_20256.pdf,,,,,,63acfa18acd3dd49fd748073b519333c7efc028e1a367fe42a2192de4484a4ff,17641
N/09041/01001/TN_001_240626,D,Copy of RO Chennai,Viluppuram,Salem - Ulundurpet section from km 0.313 to km 136.670 of NH-68-RCW,N/09041/01001/TN,M/s Lonrix,completed,0,24/06/2026,,,28/06/2026,27/06/2026,01/07/2026,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,SurveyForm_N-09041-01001-TN-RCW 24.06.206.pdf,,,,,,e0fa6dad948c97b14d0ce431d8b5ebaa10ebf89aaa340fd2ebacb0c9cc48beff,17642
N/08049/01001/TN_001_230626,D,Copy of RO Chennai,Viluppuram,Trichirapalli (Km 0.000) to Kallagam (Km. 38.700) of NH-227 in Tamil Nadu-RCW,N/08049/01001/TN,M/s Lonrix,completed,0,23/06/2026,,,30/06/2026,26/06/2026,01/07/2026,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,Other Stretches were assigned to complete inbetween.,,Survey_FormN-08049-01001-TN-RCW 27.06.2026.pdf,,,,,,6e1716ac9fda343a83f5f9f5d2d27aeb67f3259f79bc30d895af8abafbcb6a42,17643
N/08049/02001/TN_001_220626,D,Copy of RO Chennai,Viluppuram,Kallagam (km.38.700) to Meensurutti (Km.98.433) of NH-227 in Tamil Nadu-RCW,N/08049/02001/TN,M/s Lonrix,completed,0,22/06/2026,,,26/06/2026,26/06/2026,30/06/2026,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,Surveyform_N-08049-02001-TN-RCW_23-06-2026 (1).pdf,,,,,,631f255907e86b1240723f4585a96afec4610b86afe29fa2216d0a00c1bdd0ad,17644
N/08049/03002/TN_001_220626,D,Copy of RO Chennai,Viluppuram,Meensurutti (Km.98.433) to Chidambaram (Km.129.965) of NH-227-RCW,N/08049/03002/TN,M/s Lonrix,completed,1,22/06/2026,,,25/06/2026,26/06/2026,30/06/2026,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,Survey form_N0804903002TN 22062026.pdf,,,,,,5e6bd818bd184a45d5cdb4166813d82e3d232e1ec7c7db7aa1e94b761b733131,17645
N/03011/01004/TN_001_030726,D,Copy of RO Chennai,Krishnagiri,"Four laning of Jittandahalli to Dharmapuri section of NH-844 (PKG-III) from Km.60/100 to Km.94/460 under Bharatmala Pariyojana, Phase-I (National Corridor) on Hybrid Annuity Mode in the States of Tamil Nadu",N/03011/01004/TN,M/s Lonrix,completed,,03/07/2026,,,06/07/2026,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,SURVEY_FORM-N-03011-01004-TN-03-07-2026.pdf,https://india.junoams.com/pagesV1/Media/VideoViewer.aspx?nid=ETgfPyI4oe%2FEhcCrJpSMjg%3D%3D&st=T5vGCT6f4YN0qP5K4Vm2rg%3D%3D&sn=gsv4vxoNL%2FvAmaKcKoRvnw%3D%3D&it=LZ7Ufz%2FG7ZKwMW%2FQgOTgogaTI7U%2B5E%2B35czcvQ4y7qY%3D&df=kM8F%2B%2Fr4Z6pRNyIhsDLaaQ%3D%3D&dt=kM8F%2B%2Fr4Z6pRNyIhsDLaaQ%3D%3D,,,,,621a3f905f92863b302e36f100190f342505a7a6a161757a149f0b1bfa1fd6b9,17648
N/02011/05001/TN_001_290626,D,Copy of RO Chennai,Salem,Four laning of km 248/625 to km 292/600 (290/000) of Namakkal to Karur section on NH-7 in the State of Tamil Nadu (Package No. NS-2/ BOT/ TN-03).,N/02011/05001/TN,M/s Lonrix,completed,0,29/06/2026,,,02/07/2026,02/07/2026,03/07/2026,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,Survey form N-02011-05001-TN-29.06.2026.pdf,,,,,,a8ea5b8674e2bbd2f4c6c25c00d1904ebf08ec1311e66dd81f548c510e72dd39,17652
